tracker	detector	nn	learner	sum
20	9	0	2	31
7	4	0	1	12
8	3	0	1	12
6	4	0	1	11
7	4	0	1	12
7	3	1	1	12
7	3	0	1	11
8	3	0	1	12
7	3	1	1	12
7	4	0	1	12
7	3	0	1	11
7	3	1	0	11
7	3	0	1	11
7	3	1	1	12
7	4	0	1	12
8	3	0	1	12
7	4	0	1	12
8	4	0	1	13
7	4	0	1	12
7	3	0	1	11
6	4	0	1	11
8	3	1	1	13
7	4	0	1	12
7	4	0	1	12
7	3	0	1	11
7	4	0	1	12
7	4	0	1	12
16	5	0	2	23
10	4	0	1	15
7	3	0	1	11
8	4	0	1	13
13	5	0	1	19
7	4	0	1	12
7	3	1	1	12
11	5	0	1	17
10	4	0	1	15
7	4	0	1	12
8	3	0	1	12
12	4	0	1	17
11	5	0	2	18
11	4	0	1	16
7	3	0	1	11
7	3	0	1	11
8	3	0	1	12
7	4	0	1	12
8	3	0	1	12
8	3	0	1	12
7	3	1	1	12
7	4	0	1	12
7	4	0	1	12
7	4	0	1	12
19	6	0	2	27
8	4	1	1	14
8	4	0	2	14
7	4	0	1	12
14	5	0	1	20
10	4	1	1	16
7	4	0	1	12
13	5	0	2	20
10	3	1	1	15
6	3	0	1	10
7	4	0	1	12
7	4	0	1	12
7	4	0	1	12
7	4	0	1	12
8	3	1	1	13
8	3	0	1	12
17	5	1	1	24
10	4	0	1	15
7	4	0	1	12
7	3	1	0	11
7	4	0	1	12
8	3	0	1	12
20	8	0	2	30
9	4	0	1	14
7	3	0	1	11
8	3	0	1	12
7	3	0	1	11
8	3	0	1	12
7	4	0	1	12
8	4	0	1	13
8	4	0	1	13
17	8	1	1	27
8	3	0	1	12
7	4	0	1	12
7	4	0	1	12
7	4	0	1	12
7	4	0	1	12
8	4	0	1	13
7	3	1	1	12
8	4	0	1	13
10	4	0	1	15
8	4	0	1	13
8	4	0	1	13
10	5	0	1	16
7	4	1	1	13
7	5	0	1	13
8	5	0	1	14
7	5	1	0	13
8	3	0	1	12
8	4	0	1	13
8	4	0	1	13
7	4	0	1	12
7	3	0	1	11
16	5	0	1	22
7	3	0	1	11
18	6	1	1	26
8	3	0	1	12
8	4	0	1	13
8	4	0	1	13
7	4	0	1	12
7	4	0	1	12
8	3	0	1	12
7	4	0	1	12
7	4	0	1	12
7	3	1	1	12
7	4	0	1	12
7	4	0	1	12
7	4	0	1	12
7	5	0	1	13
7	4	0	1	12
8	4	0	1	13
8	4	1	1	14
17	8	1	1	27
9	4	0	1	14
7	4	0	1	12
8	4	0	1	13
8	4	0	1	13
8	3	0	1	12
7	3	0	1	11
7	4	0	1	12
12	5	0	1	18
7	4	0	1	12
7	4	0	1	12
7	4	0	1	12
8	4	0	1	13
8	4	0	1	13
15	5	1	1	22
7	3	1	1	12
7	4	0	1	12
8	4	0	1	13
7	4	0	1	12
19	10	0	2	31
10	5	0	1	16
8	5	0	1	14
8	5	1	1	15
9	5	0	1	15
8	6	0	1	15
16	6	0	1	23
7	4	0	1	12
7	4	0	1	12
7	5	0	1	13
7	3	1	1	12
7	4	1	1	13
7	4	0	1	12
7	4	0	1	12
17	6	0	2	25
7	4	0	1	12
6	4	1	1	12
12	6	0	1	19
11	6	0	2	19
7	4	0	1	12
8	4	0	1	13
20	7	0	2	29
8	5	1	1	15
8	4	1	1	14
8	5	0	1	14
7	4	1	0	12
7	5	0	1	13
7	5	0	1	13
8	5	0	1	14
8	4	0	1	13
7	5	0	1	13
7	5	0	1	13
8	4	0	1	13
7	4	0	1	12
7	5	0	1	13
19	11	0	1	31
8	4	0	1	13
11	6	0	1	18
7	4	0	1	12
19	8	0	2	29
8	5	0	1	14
7	4	1	1	13
10	6	0	1	17
8	4	0	1	13
8	4	0	1	13
7	6	0	1	14
8	5	0	1	14
8	5	0	1	14
8	5	0	1	14
14	6	1	1	22
7	5	0	1	13
7	5	0	1	13
9	5	0	1	15
8	5	0	1	14
8	5	0	1	14
10	5	0	1	16
8	5	0	1	14
7	5	0	1	13
7	4	1	0	12
7	5	0	1	13
8	4	0	1	13
7	5	0	1	13
7	5	0	1	13
8	5	0	1	14
7	4	1	1	13
7	5	1	1	14
7	5	0	1	13
7	6	0	1	14
8	6	0	1	15
7	5	0	1	13
7	6	0	1	14
18	7	0	2	27
6	4	1	0	11
7	5	0	1	13
7	5	0	1	13
19	13	0	2	34
8	5	0	1	14
11	5	1	1	18
7	5	0	1	13
7	5	0	1	13
7	5	1	0	13
7	5	0	1	13
7	5	1	0	13
7	5	0	1	13
7	5	1	1	14
12	6	0	1	19
7	5	0	1	13
7	5	0	1	13
7	5	0	0	12
7	6	1	1	15
7	6	0	1	14
8	5	0	1	14
8	5	1	1	15
13	7	0	1	21
10	5	0	1	16
7	5	1	0	13
7	5	0	1	13
7	5	0	1	13
7	6	0	1	14
8	5	0	1	14
6	5	0	1	12
7	5	0	1	13
6	5	0	0	11
7	4	0	0	11
7	4	0	0	11
12	6	0	0	18
6	5	0	0	11
6	5	0	0	11
7	6	0	0	13
6	6	1	0	13
1	6	1	0	8
0	8	0	0	8
0	8	0	0	8
1	7	0	0	8
0	8	0	0	8
0	8	0	0	8
2	20	0	0	22
1	10	0	0	11
0	8	0	0	8
1	8	0	0	9
1	8	0	0	9
1	20	0	0	21
0	10	0	0	10
0	10	0	0	10
0	10	0	0	10
0	10	0	0	10
0	10	0	0	10
0	9	0	0	9
0	8	0	0	8
0	8	0	0	8
0	9	0	0	9
1	8	0	0	9
0	8	0	0	8
0	9	0	0	9
1	8	0	0	9
0	9	0	0	9
0	9	0	0	9
1	8	0	0	9
1	12	0	0	13
1	7	0	0	8
1	8	0	0	9
1	7	0	0	8
0	8	0	0	8
1	8	0	0	9
1	8	0	0	9
1	8	0	0	9
0	9	0	0	9
0	9	0	0	9
0	9	0	0	9
0	9	0	0	9
1	9	0	0	10
1	8	0	0	9
0	8	0	0	8
0	9	0	0	9
0	8	1	0	9
0	9	0	0	9
1	9	0	0	10
1	8	0	0	9
0	9	0	0	9
1	8	0	0	9
0	8	0	0	8
1	19	0	0	20
0	15	0	0	15
1	14	0	0	15
0	13	0	0	13
0	8	0	0	8
1	7	0	0	8
0	9	0	0	9
0	8	0	0	8
1	8	0	0	9
0	8	0	0	8
0	9	0	0	9
0	9	0	0	9
0	9	0	0	9
0	9	0	0	9
1	8	0	0	9
2	19	0	0	21
0	8	0	0	8
0	9	0	0	9
0	10	0	0	10
0	9	0	0	9
1	15	1	0	17
1	8	0	0	9
1	8	0	0	9
0	8	0	0	8
0	8	0	0	8
0	8	0	0	8
0	8	0	0	8
1	8	0	0	9
1	8	0	0	9
1	8	0	0	9
1	8	0	0	9
0	8	0	0	8
1	11	0	0	12
1	19	0	0	20
0	18	1	0	19
2	24	0	0	26
1	11	0	0	12
1	8	0	0	9
1	8	0	0	9
0	9	0	0	9
1	8	0	0	9
1	9	0	0	10
1	9	0	0	10
2	15	0	0	17
1	7	1	0	9
1	13	0	0	14
1	8	0	0	9
0	8	0	0	8
1	8	0	0	9
0	8	0	0	8
1	8	0	0	9
0	8	0	0	8
1	8	0	0	9
1	8	0	0	9
0	8	1	0	9
0	8	1	0	9
1	8	0	0	9
1	8	0	0	9
0	10	0	0	10
1	25	0	0	26
1	12	0	0	13
1	12	0	0	13
1	10	0	0	11
0	9	0	0	9
1	8	0	0	9
0	9	0	0	9
1	8	0	0	9
0	9	0	0	9
0	8	0	0	8
1	22	0	0	23
1	10	0	0	11
1	7	1	0	9
0	8	0	0	8
0	8	0	0	8
0	8	0	0	8
0	9	0	0	9
0	8	0	0	8
0	9	0	0	9
0	9	0	0	9
1	8	0	0	9
0	8	0	0	8
1	8	0	0	9
1	24	0	0	25
0	11	0	0	11
1	8	0	0	9
0	8	0	0	8
0	8	1	0	9
1	8	0	0	9
1	8	0	0	9
1	14	0	0	15
1	13	0	0	14
0	8	0	0	8
0	9	0	0	9
1	8	0	0	9
0	9	0	0	9
0	9	0	0	9
1	8	0	0	9
0	9	0	0	9
0	13	0	0	13
1	14	1	0	16
1	13	0	0	14
1	8	0	0	9
2	22	0	0	24
0	10	0	0	10
1	11	0	0	12
1	7	0	0	8
1	8	0	0	9
0	8	0	0	8
0	8	0	0	8
0	8	0	0	8
0	8	0	0	8
1	8	0	0	9
0	8	0	0	8
0	8	0	0	8
1	8	0	0	9
0	9	0	0	9
0	8	0	0	8
0	8	0	0	8
1	8	0	0	9
0	8	0	0	8
0	9	0	0	9
1	8	0	0	9
1	26	0	0	27
1	11	0	0	12
0	12	0	0	12
0	9	0	0	9
1	8	0	0	9
1	16	0	0	17
0	8	0	0	8
0	10	0	0	10
1	8	0	0	9
1	8	0	0	9
0	9	0	0	9
1	26	0	0	27
1	11	0	0	12
0	8	1	0	9
0	9	0	0	9
1	8	0	0	9
0	9	0	0	9
1	8	0	0	9
0	9	0	0	9
0	8	1	0	9
1	8	0	0	9
0	9	0	0	9
1	8	1	0	10
1	8	0	0	9
0	8	0	0	8
0	9	0	0	9
1	8	0	0	9
1	8	0	0	9
0	8	0	0	8
0	9	0	0	9
0	9	0	0	9
1	8	0	0	9
0	8	0	0	8
0	9	0	0	9
1	9	0	0	10
1	8	0	0	9
0	8	1	0	9
0	9	0	0	9
0	9	0	0	9
1	8	1	0	10
0	8	1	0	9
1	9	0	0	10
1	8	0	0	9
2	23	1	0	26
1	10	1	0	12
1	8	0	0	9
0	8	0	0	8
1	8	0	0	9
1	21	0	0	22
1	11	0	0	12
0	8	0	0	8
1	13	0	0	14
1	8	0	0	9
0	8	0	0	8
1	8	0	0	9
0	9	0	0	9
0	8	0	0	8
1	8	0	0	9
0	8	1	0	9
1	9	0	0	10
2	23	0	0	25
1	9	1	0	11
1	9	0	0	10
0	10	0	0	10
0	9	0	0	9
1	9	1	0	11
0	10	0	0	10
1	10	0	0	11
1	24	0	0	25
1	11	0	0	12
1	14	1	0	16
1	14	0	0	15
1	15	0	0	16
0	10	0	0	10
1	14	0	0	15
0	10	0	0	10
1	10	0	0	11
0	11	0	0	11
1	10	0	0	11
0	10	0	0	10
0	10	0	0	10
0	11	0	0	11
0	10	0	0	10
0	11	0	0	11
0	11	0	0	11
0	10	1	0	11
0	11	0	0	11
